Epoch,Loss_D,Loss_G,Loss_G_ADV,Loss_G_MSE,Loss_G_TV,Score_D,Score_G,PSNR,SSIM
1,0.6148654474544817,0.013272843108178554,0.8534661206940952,0.013187496599943907,0.002791421701494258,0.5596712351138338,0.14653388001557452,20.7552226330119,0.5495558606156744
2,0.5988754216691934,0.0044192584570158615,0.8562740928306034,0.004333631042295932,0.00279927272558882,0.5592849963592923,0.14372590913287953,20.877278207350148,0.6114177553598851
3,0.9586313201896504,0.0035717396514606307,0.2145319188335212,0.0035502864561586874,0.003431333897233892,0.8274322313478215,0.7854680811664788,22.825112647660674,0.6702574195971549
4,1.0021368909296147,0.0030154282190533502,0.0017956567127200508,0.0030152486592999244,0.0037031848541536085,0.9953336033806494,0.9982043432872799,23.511518140327993,0.7019701913061501
5,0.9999999974429059,0.0024985766991501078,2.922393206556435e-09,0.0024985766991501078,0.003938767763636664,0.9999999996347009,0.9999999970776068,23.70672075648463,0.7393504275188286
6,1.0,0.0023596910150974716,0.0,0.0023596910017792735,0.004026505912048124,1.0,1.0,23.858202967464024,0.756480944455917
7,0.9999999961034757,0.0021137310478805856,3.89652427540858e-09,0.002113731023146789,0.004120819175480822,0.9999999980517379,0.9999999961034757,24.19584992976414,0.7171866574546782
8,1.0,0.0020191955508091566,0.0,0.002019195499438964,0.004198634183173191,1.0,1.0,24.25273587364961,0.7365392677205377
9,0.9999999990258689,0.0019256482623799098,9.74131068852145e-10,0.0019256481862759201,0.00425528479141656,1.0,0.9999999990258689,24.60902749776883,0.7722981853963939
10,1.0,0.0018519983107016724,0.0,0.0018519982212794844,0.004241553545226481,0.9999999990258689,1.0,24.792244506641108,0.7721051801946871
11,1.0,0.001803251206793987,0.0,0.0018032511113072623,0.004314835091284167,0.9999999990258689,1.0,24.76084203265467,0.7739349193403412
12,1.0,0.0017536360676760907,0.0,0.0017536359649357044,0.004344563651544568,1.0,1.0,24.85729092721084,0.7698405711720678
13,1.0,0.001762302050393634,0.0,0.0017623019533610472,0.004345394237170546,1.0,1.0,24.907225705202663,0.7840160012993354
14,1.0,0.0017777603580754354,0.0,0.0017777602549783117,0.0043940834507947375,1.0,1.0,24.775532843494233,0.7766013065641395
15,1.0,0.0016738203822932872,0.0,0.001673820267780565,0.004390874071345418,1.0,1.0,24.920533235915855,0.7764081239201533
16,1.0,0.0016675100043944946,0.0,0.0016675098898817726,0.004399732352672972,1.0,1.0,25.03847474618925,0.789741391043284
17,1.0,0.0016788786616789004,0.0,0.0016788785528739775,0.004449540697822045,1.0,1.0,24.949221577702964,0.7721946869185778
18,1.0,0.0016620422490378718,0.0,0.00166204213262255,0.0044416477630225,1.0,1.0,24.7213317159082,0.782617284413661
19,1.0,0.001640410940433958,0.0,0.0016404108259212358,0.004442150827280347,1.0,1.0,25.244439434297643,0.7875185742288454
20,1.0,0.0016154639220266652,9.74131068852145e-10,0.0016154638078706804,0.004501904316238899,0.9999999990258689,0.9999999990258689,24.925016320607313,0.7745024733962375
21,1.0,0.0016585079279078496,0.0,0.0016585078156544648,0.004454723974086717,0.9999999990258689,1.0,25.166666798260167,0.7656779552353975
22,0.9999999990258689,0.0016033334784310567,9.74131068852145e-10,0.0016033333620157349,0.004520142518708804,1.0,0.9999999990258689,25.273374363051197,0.7893971707282206
23,1.0,0.0015865690608778103,0.0,0.0015865689444624885,0.004507196440234917,1.0,1.0,25.04352165227562,0.7844287696992004
24,1.0,0.001563442426122938,0.0,0.0015634423097076163,0.004496914977673917,1.0,1.0,25.081859752760497,0.7832047692402636
25,1.0,0.0015727516536746438,0.0,0.001572751537259322,0.004515683100072703,0.9999999990258689,1.0,25.294867020777865,0.7884952004484552
