Epoch,Loss_D,Loss_G,Loss_G_ADV,Loss_G_MSE,Loss_G_TV,Score_D,Score_G,PSNR,SSIM
1,0.9816943890471259,0.00737422862422174,0.6674477207770265,0.007307483827023633,0.0030746272959165178,0.3627142077667608,0.3325522781212143,22.239208390053257,0.6355881936629946
2,1.002841771196905,0.0027720165344771374,0.9643500104500885,0.002675581493355958,0.0039427952895148355,0.03731725346225643,0.03564998898680999,23.6256327747449,0.714412565510642
3,1.0,0.002134090739200548,1.0,0.002034090684804841,0.004277721685723642,4.290169198471867e-11,4.802738054488977e-11,24.14610965309373,0.7416333059885512
4,1.0,0.0019224451486671969,0.9999999997564673,0.0018224450937958398,0.004424006876510029,3.6345479708690144e-10,3.3169866131129275e-10,24.90703431094721,0.7558462300559966
5,1.0000000004870655,0.0017824695731938434,0.9999999995129345,0.0016824695154685867,0.004439145577757546,3.234464481613099e-10,5.504714167765068e-10,25.06690873566193,0.751099957955931
6,1.0,0.0017405981628416415,0.9999999997564673,0.0016405981049974724,0.004517069481697554,1.2763952555956058e-10,1.7664306258645525e-10,24.898933645476873,0.7983580484799261
7,1.0,0.0016932844955367592,1.0,0.0015932844363845528,0.0045421464726389735,8.494314011051993e-11,5.031613195335963e-11,24.93913795733967,0.7815094486689468
8,1.0,0.001718604434077058,1.0,0.0016186043701683522,0.004549333987428414,2.0196909396473375e-11,4.420366447833968e-11,24.484267248452337,0.7218710692856601
9,1.0,0.0016725647174758004,1.0,0.001572564657372294,0.004562012370831816,9.870517048954691e-11,9.940744615548208e-11,25.353247220657398,0.7905860408579455
10,1.0,0.02291512151607393,1.0,0.022815120871158827,0.0030213858428712608,2.8615622197880213e-10,2.3227875465601044e-10,8.687397813272796,0.09780877976382159
