Epoch,PSNR,SSIM,MSE,MEAN_PSNR,MEAN_SSIM
1,19.85728639098983,0.5728182792663574,tensor(0.0039),22.11480567981863,0.6259286782958291
2,23.984485436396,0.6917378306388855,tensor(0.0019),27.76310706585104,0.7652594248453776
3,18.730316851400122,0.5399001836776733,tensor(0.0064),,
4,22.82721479429974,0.6438260078430176,tensor(0.0025),,
5,20.16020775116622,0.619514524936676,tensor(0.0054),,
6,25.424930099786685,0.6966931819915771,tensor(0.0019),,
7,19.922101903640936,0.5931243300437927,tensor(0.0054),,
8,19.901149017445473,0.5937076210975647,tensor(0.0053),,
9,20.157142919991237,0.5908149480819702,tensor(0.0056),,
10,24.124179389386633,0.6565969586372375,tensor(0.0027),,
11,22.042327065947806,0.5787009000778198,tensor(0.0031),,
12,24.185364034680585,0.7047242522239685,tensor(0.0019),,
13,20.281428243130343,0.609144926071167,tensor(0.0045),,
14,24.064055444104326,0.636456310749054,tensor(0.0023),,
15,24.31290617675325,0.6685610413551331,tensor(0.0025),,
16,26.73332860030525,0.6508387327194214,tensor(0.0010),,
17,19.208712881078217,0.5985751152038574,tensor(0.0056),,
18,22.353420472038444,0.6292704939842224,tensor(0.0034),,
19,24.638580089623773,0.6158969402313232,tensor(0.0015),,
20,21.915640733883688,0.6172998547554016,tensor(0.0033),,
21,20.757156337974774,0.6026034951210022,tensor(0.0044),,
22,24.321864757365084,0.6048848628997803,tensor(0.0018),,
23,22.06186062067512,0.6352244019508362,tensor(0.0031),,
24,20.203500713098784,0.6019448637962341,tensor(0.0054),,
25,22.59142897942466,0.6559758186340332,tensor(0.0027),,
26,22.509395607599558,0.6366590857505798,tensor(0.0032),,
27,21.358070908626846,0.6145758628845215,tensor(0.0038),,
28,22.773809753350864,0.6399732232093811,tensor(0.0026),,
29,23.11864239949479,0.6149396300315857,tensor(0.0021),,
30,24.095649086978504,0.7075901031494141,tensor(0.0019),,
31,22.729704872410906,0.6296578645706177,tensor(0.0036),,
32,19.716035184487946,0.6051938533782959,tensor(0.0071),,
33,18.726689916478442,0.5982208847999573,tensor(0.0071),,
34,24.03723796320232,0.6993760466575623,tensor(0.0017),,
35,29.500870339346275,0.8093780279159546,tensor(0.0005),,
36,24.04985297961561,0.7310077548027039,tensor(0.0022),,
37,28.914149082387915,0.7922825813293457,tensor(0.0007),,
38,27.018409553559852,0.7686028480529785,tensor(0.0011),,
39,30.18127778273124,0.7803840041160583,tensor(0.0006),,
40,24.897019526462426,0.7416789531707764,tensor(0.0020),,
41,25.271275067989084,0.7427875995635986,tensor(0.0019),,
42,26.8117529563115,0.7950964570045471,tensor(0.0012),,
43,29.86521756530243,0.7749349474906921,tensor(0.0007),,
44,26.208474168888305,0.7086558938026428,tensor(0.0012),,
45,29.762684063241704,0.8092129826545715,tensor(0.0005),,
46,27.228497421872206,0.7929685711860657,tensor(0.0009),,
47,29.443824150485888,0.7750452160835266,tensor(0.0007),,
48,29.7067446036407,0.7704387307167053,tensor(0.0007),,
49,28.625900980324026,0.7243530750274658,tensor(0.0007),,
50,26.19913833203335,0.7904587388038635,tensor(0.0013),,
51,28.70572275722958,0.7673029899597168,tensor(0.0008),,
52,27.993179966837005,0.7210308313369751,tensor(0.0008),,
53,28.0677622570888,0.7669605016708374,tensor(0.0008),,
54,29.526334592113137,0.7596556544303894,tensor(0.0011),,
55,27.538345943614367,0.721208393573761,tensor(0.0009),,
56,29.094694803826947,0.799272894859314,tensor(0.0006),,
57,27.281999137315665,0.7672445178031921,tensor(0.0011),,
58,29.22995956515848,0.7995241284370422,tensor(0.0006),,
59,28.817483954015856,0.7710740566253662,tensor(0.0008),,
60,27.136069132186535,0.7606337070465088,tensor(0.0010),,
61,29.22247146115871,0.7902415990829468,tensor(0.0006),,
62,27.4551937055245,0.7217252254486084,tensor(0.0009),,
63,29.422539099395163,0.808539867401123,tensor(0.0006),,
64,29.13632142861364,0.7658255100250244,tensor(0.0008),,
65,25.54267803339099,0.7682279348373413,tensor(0.0019),,
66,24.289450798220162,0.7584307789802551,tensor(0.0021),,
