Epoch,PSNR,SSIM,MSE,MEAN_PSNR,MEAN_SSIM
1,20.39311557971255,0.5837843418121338,tensor(0.0034),23.154001246333085,0.6746858611251368
2,24.353109108236964,0.6974538564682007,tensor(0.0018),28.36799152928294,0.7434049031951211
3,20.177471413846458,0.6150880455970764,tensor(0.0046),,
4,23.734845915093814,0.6825328469276428,tensor(0.0020),,
5,21.244243077307207,0.683956503868103,tensor(0.0042),,
6,26.061513342842733,0.7176209688186646,tensor(0.0016),,
7,21.572462364131507,0.6874118447303772,tensor(0.0037),,
8,21.698656278331928,0.6965367197990417,tensor(0.0035),,
9,21.55102414416943,0.672033429145813,tensor(0.0041),,
10,25.13519563671491,0.6719432473182678,tensor(0.0022),,
11,22.760811394078413,0.5973296761512756,tensor(0.0026),,
12,25.18620598305487,0.7276872396469116,tensor(0.0015),,
13,21.370776874619118,0.6759719252586365,tensor(0.0035),,
14,25.195811100580027,0.6908735632896423,tensor(0.0018),,
15,25.50742102686246,0.7220234274864197,tensor(0.0019),,
16,27.051560765590366,0.6485158801078796,tensor(0.0009),,
17,20.49021540711443,0.666732668876648,tensor(0.0042),,
18,23.707882055554855,0.699836015701294,tensor(0.0025),,
19,25.165560304860627,0.6264082193374634,tensor(0.0013),,
20,23.70721099520646,0.6992588043212891,tensor(0.0022),,
21,21.958264558916994,0.6675618886947632,tensor(0.0034),,
22,24.924283250899258,0.620097279548645,tensor(0.0016),,
23,23.500423906976383,0.702426016330719,tensor(0.0023),,
24,20.921536076546225,0.6493028998374939,tensor(0.0046),,
25,23.52816285151242,0.7073880434036255,tensor(0.0022),,
26,23.641619721061332,0.6969537734985352,tensor(0.0025),,
27,23.009380058287636,0.6935599446296692,tensor(0.0026),,
28,24.258295304331764,0.7019408941268921,tensor(0.0018),,
29,23.205766567762485,0.611838698387146,tensor(0.0021),,
30,24.31540639363036,0.7022192478179932,tensor(0.0018),,
31,24.118756616127882,0.6981515288352966,tensor(0.0026),,
32,20.347494845555456,0.6616761684417725,tensor(0.0061),,
33,20.287558209474255,0.6885178089141846,tensor(0.0050),,
34,24.435761374726344,0.6769406199455261,tensor(0.0015),,
35,30.05249472977774,0.7804704308509827,tensor(0.0005),,
36,25.19789112092898,0.7169867753982544,tensor(0.0017),,
37,29.70763356525417,0.7739201784133911,tensor(0.0005),,
38,27.60552929111109,0.7497426271438599,tensor(0.0010),,
39,30.38061623213039,0.7526237368583679,tensor(0.0006),,
40,26.027045331510195,0.7328052520751953,tensor(0.0015),,
41,26.55431674666601,0.7353323698043823,tensor(0.0014),,
42,27.66495492790467,0.7771727442741394,tensor(0.0010),,
43,30.314941666199744,0.7477761507034302,tensor(0.0007),,
44,26.63339534977327,0.6863981485366821,tensor(0.0011),,
45,30.053529062530252,0.7798232436180115,tensor(0.0005),,
46,28.04223814507082,0.7703499794006348,tensor(0.0008),,
47,29.825583825993142,0.7499237656593323,tensor(0.0006),,
48,30.352878219113833,0.7464176416397095,tensor(0.0006),,
49,28.776229159157264,0.7017145752906799,tensor(0.0007),,
50,27.15219500928919,0.773239016532898,tensor(0.0011),,
51,29.340475635081525,0.7426374554634094,tensor(0.0007),,
52,28.35343943051921,0.702393651008606,tensor(0.0007),,
53,28.708201050998973,0.7438889145851135,tensor(0.0007),,
54,30.356652344408523,0.7385495901107788,tensor(0.0009),,
55,27.756675914383955,0.700729489326477,tensor(0.0008),,
56,29.634248435585896,0.774406909942627,tensor(0.0005),,
57,27.868610321736014,0.7500395774841309,tensor(0.0009),,
58,29.484806017128612,0.7728995084762573,tensor(0.0006),,
59,29.289478707255903,0.7448808550834656,tensor(0.0007),,
60,28.082638604940087,0.7392536401748657,tensor(0.0008),,
61,29.868492814900517,0.7660788297653198,tensor(0.0005),,
62,27.816065581528612,0.6981062889099121,tensor(0.0009),,
63,29.852789734371882,0.7802442312240601,tensor(0.0005),,
64,29.861066589253873,0.7386991381645203,tensor(0.0007),,
65,25.92932064765187,0.7465173602104187,tensor(0.0017),,
66,25.163524879454577,0.7413991093635559,tensor(0.0017),,
