Epoch,Loss_D,Loss_G,Loss_GAN,Loss_CONTENT,Score_D,Score_G,PSNR,SSIM
1,0.1603765133414743,0.06468957264312941,0.946888638972874,0.0,"tensor(0.8439, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1362, device='cuda:0', grad_fn=<DivBackward0>)",28.13735973246288,0.7586166412353516
2,0.07354457768340769,0.0368538840830145,0.8999281255422258,0.0,"tensor(0.9051, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0899, device='cuda:0', grad_fn=<DivBackward0>)",24.86468659697213,0.6915048794746399
3,0.02812733323205101,0.03476780063515825,0.955580716478888,0.0,"tensor(0.9619, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0379, device='cuda:0', grad_fn=<DivBackward0>)",26.292541679803563,0.6611955855369568
4,0.006313992189010075,0.033463291787091946,0.9941421548072913,0.0,"tensor(0.9942, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0048, device='cuda:0', grad_fn=<DivBackward0>)",28.50226926953035,0.7278480340957642
5,0.0035014177340909488,0.03184290676064444,0.9952561094983564,0.0,"tensor(0.9979, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0028, device='cuda:0', grad_fn=<DivBackward0>)",28.121753803722687,0.6913904285430909
6,0.0030624712354184644,0.031308977607985566,0.997455037355242,0.0,"tensor(0.9972, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0021, device='cuda:0', grad_fn=<DivBackward0>)",28.82146150057496,0.8279418580055237
7,0.002547929192495079,0.030565439845769805,0.9974131845758101,0.0,"tensor(0.9981, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0015, device='cuda:0', grad_fn=<DivBackward0>)",29.700143016954065,0.7256572134017945
8,0.002385516807079123,0.030770869105318864,0.9976962583030637,0.0,"tensor(0.9984, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0015, device='cuda:0', grad_fn=<DivBackward0>)",28.97184429879429,0.6819553232192993
9,0.0024047993528730914,0.030139287389198216,0.9990379416589585,0.0,"tensor(0.9984, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0014, device='cuda:0', grad_fn=<DivBackward0>)",30.30779528770435,0.80575955286026
10,0.001612479554173864,0.030161034509584864,0.9987008192363614,0.0,"tensor(0.9991, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0012, device='cuda:0', grad_fn=<DivBackward0>)",29.901559217885293,0.7626343951225281
11,0.0020681705749073915,0.02950729583457237,0.9992239048015736,0.0,"tensor(0.9985, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>)",29.232613523689572,0.6629997397422791
12,0.001738911603691287,0.029531171423755727,0.9996216787292637,0.0,"tensor(0.9986, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<DivBackward0>)",29.850871202402413,0.7543379820823669
13,0.0017574005487555992,0.03014284286056854,1.0006276396249585,0.0,"tensor(0.9983, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0005, device='cuda:0', grad_fn=<DivBackward0>)",30.00805602338632,0.7560428382873535
14,0.0015731659327508512,0.02883183953317622,0.9994705739397847,0.0,"tensor(0.9993, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<DivBackward0>)",29.54013868570673,0.7623925716400146
15,0.0013576912731335315,0.028876515747463062,1.0004148506357893,0.0,"tensor(0.9992, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>)",30.03403674583593,0.8206755248069764
16,0.0013705523881828588,0.02879776219125263,0.999975557479337,0.0,"tensor(0.9990, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0004, device='cuda:0', grad_fn=<DivBackward0>)",30.414269022364444,0.8199310852050781
17,0.0017976775249549744,0.028623853564748912,1.000417028943426,0.0,"tensor(0.9992, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0005, device='cuda:0', grad_fn=<DivBackward0>)",30.416882606721888,0.8189764064788818
18,0.001396447469797848,0.028490667048227905,1.0003633577894242,0.0,"tensor(0.9992, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>)",29.376557016326302,0.7542107613563538
19,0.0015967775720695631,0.028735761889224717,1.00053794282625,0.0,"tensor(0.9995, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0004, device='cuda:0', grad_fn=<DivBackward0>)",29.089535840415166,0.7916867500305176
20,0.0013562811466712496,0.02839949613206524,1.0000397561622916,0.0,"tensor(0.9992, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0006, device='cuda:0', grad_fn=<DivBackward0>)",30.421883295133046,0.7853368877410889
21,0.0012822254400363725,0.028193490940373146,1.0008695472255293,0.0,"tensor(0.9994, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0002, device='cuda:0', grad_fn=<DivBackward0>)",29.88796069266933,0.7799294710159301
22,0.0019330739292217844,0.02825869836235644,1.0006013189017455,0.0,"tensor(0.9990, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0005, device='cuda:0', grad_fn=<DivBackward0>)",30.046855511372726,0.8338110017776489
23,0.0010165578040687527,0.02771743918198388,1.0002035182266409,0.0,"tensor(0.9997, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0004, device='cuda:0', grad_fn=<DivBackward0>)",30.30374660990102,0.8055380334854126
24,0.0011643458987977257,0.028064383461154946,1.0007570119363933,0.0,"tensor(0.9993, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0002, device='cuda:0', grad_fn=<DivBackward0>)",29.706133425596057,0.8387397484779358
25,0.0014503734877888868,0.027556962393727732,1.0008876739167407,0.0,"tensor(0.9991, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>)",30.720028005834447,0.8442613259315491
26,0.0013372214691714866,0.027756284821945424,1.0006596938895744,0.0,"tensor(0.9996, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0002, device='cuda:0', grad_fn=<DivBackward0>)",30.479476534476305,0.7994052963256836
27,0.0013207972541008776,0.027767935074758332,1.000828583899464,0.0,"tensor(0.9994, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>)",29.882306493410763,0.7501380737304687
28,0.03957979012462441,0.02780066502274169,0.9984928689042818,0.0,"tensor(0.9872, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0229, device='cuda:0', grad_fn=<DivBackward0>)",30.183597826711722,0.8265692126274109
29,0.3448586024021505,0.026926931177655586,0.3615665172616369,0.0,"tensor(0.5010, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.4896, device='cuda:0', grad_fn=<DivBackward0>)",30.524391254108426,0.8184748363494873
30,0.24464912636767036,0.02709661010191716,0.27272455132903706,0.0,"tensor(0.5149, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.4866, device='cuda:0', grad_fn=<DivBackward0>)",30.261674453565522,0.8467435057640076
31,0.24193440735249602,0.02686804384785162,0.2731067164091785,0.0,"tensor(0.5253, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.4887, device='cuda:0', grad_fn=<DivBackward0>)",30.606779710003103,0.8410804174423218
32,0.20089395022219161,0.026449136387899055,0.39737364366910816,0.0,"tensor(0.5986, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.4048, device='cuda:0', grad_fn=<DivBackward0>)",30.45993309077497,0.8600105829238892
33,0.22905416925838706,0.026550301287716415,0.35165340570491105,0.0,"tensor(0.5601, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.4435, device='cuda:0', grad_fn=<DivBackward0>)",30.044057688064644,0.7455388637542725
34,0.09176007975472722,0.02704087455298019,0.7390147031666024,0.0,"tensor(0.8204, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1830, device='cuda:0', grad_fn=<DivBackward0>)",30.191170514195612,0.8563955159187316
35,0.005961434124355843,0.027353621883517247,0.9979857558451011,0.0,"tensor(0.9939, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0068, device='cuda:0', grad_fn=<DivBackward0>)",30.439001016391742,0.8590188982963562
36,0.0033049985289788646,0.027108592276115624,0.9997594348843023,0.0,"tensor(0.9974, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0022, device='cuda:0', grad_fn=<DivBackward0>)",30.43522347399793,0.8313008004188538
37,0.0025013237068996727,0.027623693411356585,1.0014367153812922,0.0,"tensor(0.9964, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0020, device='cuda:0', grad_fn=<DivBackward0>)",30.415022666859784,0.8052083138465881
38,0.002111867720603479,0.02748844519133086,1.0029303433321242,0.0,"tensor(0.9990, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0006, device='cuda:0', grad_fn=<DivBackward0>)",29.673113461491806,0.7779517213821411
39,0.0017386898313540805,0.02728062946329582,0.9993514686981294,0.0,"tensor(0.9982, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0016, device='cuda:0', grad_fn=<DivBackward0>)",29.5425116838198,0.7534200762748718
40,0.0013090777787222224,0.027123659962311603,1.0015865678396203,0.0,"tensor(0.9991, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<DivBackward0>)",30.388971263273348,0.818851214313507
41,0.0010854171420360548,0.026823055105186268,1.0005689270585074,0.0,"tensor(0.9996, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0008, device='cuda:0', grad_fn=<DivBackward0>)",30.728317241169634,0.8417887084960938
42,0.0010766119964211477,0.027239029511424658,1.000142726557854,0.0,"tensor(0.9986, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<DivBackward0>)",30.81759315146754,0.8622591402053833
